	UMAP1	UMAP2
293T_TFF1_DNA_Pool-1_1D:H6:A4:07	-2.4539893	10.128012
293T_TFF1_DNA_Pool-1_1D:I4:B2:12	-1.020372	7.3552904
293T_TFF1_DNA_Pool-1_1D:I4:E2:03	-1.7292786	8.648385
293T_TFF1_DNA_Pool-1_1D:I4:H6:07	-1.9316725	7.8952713
293T_TFF1_DNA_Pool-1_1D:I7:C8:03	-1.3501768	9.289152
293T_TFF1_DNA_Pool-1_1D:I8:93:03	1.0035487	10.871138
293T_TFF1_DNA_Pool-1_1D:J1:93:07	0.17388988	10.123815
293T_TFF1_DNA_Pool-1_1D:J1:A5:12	1.2383337	9.579537
293T_TFF1_DNA_Pool-1_1D:J1:D4:07	-0.6823999	6.484656
293T_TFF1_DNA_Pool-1_1D:J1:F8:07	-3.017057	9.433649
293T_TFF1_DNA_Pool-1_1D:J1:G9:12	-0.20004678	9.15345
293T_TFF1_DNA_Pool-1_1D:J1:Q4:12	-1.7010534	6.4509373
293T_TFF1_DNA_Pool-1_1D:J1:R0:01	-2.0888977	10.148184
293T_TFF1_DNA_Pool-1_1D:J1:Y2:02	-2.364618	10.177843
293T_TFF1_DNA_Pool-1_1D:K0:0F:04	-1.2692478	10.542409
293T_TFF1_DNA_Pool-1_1D:K0:X7:12	-1.0911473	9.416753
293T_TFF1_DNA_Pool-1_1D:K0:Y2:02	-0.68174267	7.7370963
293T_TFF1_DNA_Pool-1_1D:K7:E6:07	0.55966175	8.485115
293T_TFF1_DNA_Pool-1_1D:K7:F2:12	-1.3621843	6.565202
293T_TFF1_DNA_Pool-1_1D:K8:17:07	-0.027107852	6.864681
293T_TFF1_DNA_Pool-1_1D:L1:F2:07	1.6455541	7.4930916
293T_TFF1_DNA_Pool-1_1D:L2:66:07	0.16032065	8.754232
293T_TFF1_DNA_Pool-1_1D:L2:M1:01	-0.9863743	9.860995
293T_TFF1_DNA_Pool-1_1D:L6:0I:07	-1.0230342	11.224378
293T_TFF1_DNA_Pool-1_1D:L6:S6:07	1.1907524	8.877263
293T_TFF1_DNA_Pool-1_1D:L6:T2:12	-2.7982748	7.4401264
293T_TFF1_DNA_Pool-1_1D:L9:C0:12	-0.24509569	8.684098
293T_TFF1_DNA_Pool-1_1D:M0:76:03	0.9913824	6.007866
293T_TFF1_DNA_Pool-1_1D:M0:76:07	-3.281239	8.753435
293T_TFF1_DNA_Pool-1_1D:M0:F2:07	0.34536377	8.727724
293T_TFF1_DNA_Pool-1_1D:M0:J0:07	-0.5272555	9.074392
293T_TFF1_DNA_Pool-1_1D:M0:O6:07	-0.279469	7.0950484
293T_TFF1_DNA_Pool-1_1D:M0:Q8:07	-1.001007	10.143345
293T_TFF1_DNA_Pool-1_1D:M3:N8:07	1.1906012	7.942615
293T_TFF1_DNA_Pool-1_1D:M3:S9:07	-1.7411613	7.615907
293T_TFF1_DNA_Pool-1_1D:M3:Y2:02	-0.15574566	8.423059
293T_TFF1_DNA_Pool-1_1D:M4:97:07	0.048251122	8.801815
293T_TFF1_DNA_Pool-1_1D:M4:Z3:07	2.3633232	8.829554
293T_TFF1_DNA_Pool-1_1D:N2:K5:07	0.07943841	7.4811754
293T_TFF1_DNA_Pool-1_1D:N2:M8:07	1.253866	9.331102
293T_TFF1_DNA_Pool-1_1D:N5:A4:12	-0.2847568	7.884103
293T_TFF1_DNA_Pool-1_1D:N5:B2:07	0.19253924	9.730977
293T_TFF1_DNA_Pool-1_1D:N5:F3:07	0.8695951	7.9482217
293T_TFF1_DNA_Pool-1_1D:N9:0N:07	-0.7180493	7.864957
293T_TFF1_DNA_Pool-1_1D:N9:0R:07	-1.6397023	6.611865
293T_TFF1_DNA_Pool-1_1D:N9:0W:03	2.1010284	9.849079
293T_TFF1_DNA_Pool-1_1D:N9:46:07	-2.8401968	8.758943
293T_TFF1_DNA_Pool-1_1D:N9:84:12	-1.8335356	8.028277
293T_TFF1_DNA_Pool-1_1D:N9:A4:07	-0.16005161	9.628218
293T_TFF1_DNA_Pool-1_1D:N9:E6:07	0.9792948	9.838356
293T_TFF1_DNA_Pool-1_1D:N9:F3:07	-1.2558306	7.320874
293T_TFF1_DNA_Pool-1_1D:N9:H6:03	-0.9882145	7.3946843
293T_TFF1_DNA_Pool-1_1D:N9:M8:07	-1.3496977	7.0624022
293T_TFF1_DNA_Pool-1_1D:N9:P3:04	-0.10207275	7.731624
293T_TFF1_DNA_Pool-1_1D:N9:Q8:07	2.292027	7.9983745
293T_TFF1_DNA_Pool-1_1D:N9:T7:07	-2.0482543	8.407148
293T_TFF1_DNA_Pool-1_1D:N9:U5:08	0.3791158	6.7475657
293T_TFF1_DNA_Pool-1_1D:N9:W2:07	0.30216673	8.657703
293T_TFF1_DNA_Pool-1_1D:N9:Y2:02	1.1055554	7.1634264
293T_TFF1_DNA_Pool-1_1D:N9:Z3:05	1.1436418	6.940391
293T_TFF1_DNA_Pool-1_1D:O7:76:07	-1.434936	7.240455
293T_TFF1_DNA_Pool-1_1D:O7:93:12	1.3474509	7.904538
293T_TFF1_DNA_Pool-1_1D:O7:C8:12	-0.97796977	8.989751
293T_TFF1_DNA_Pool-1_1D:O7:I9:12	1.0611109	9.683884
293T_TFF1_DNA_Pool-1_1D:O7:K1:07	-1.2450421	6.278449
