input	kind	barcode	threshold	raw_complexity	imp_complexity	gain
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:N2:M8:07	283.639	10	19	9
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:N5:A4:12	283.639	15	10	-5
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:N5:B2:07	283.639	10	4	-6
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:N5:F3:07	283.639	21	4	-17
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:N9:0N:07	283.639	27	9	-18
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:N9:0R:07	283.639	23	110	87
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:N9:0W:03	283.639	20	42	22
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:N9:46:07	283.639	21	17	-4
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:N9:84:12	283.639	22	12	-10
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:N9:A4:07	283.639	192	8	-184
