input	kind	barcode	umi_total
raw	mm	293T_TFF1_DNA_Pool-1_1D:V9:X3:12	20
raw	mm	293T_TFF1_DNA_Pool-1_1D:W0:F3:07	91
raw	mm	293T_TFF1_DNA_Pool-1_1D:W0:G9:07	61
raw	mm	293T_TFF1_DNA_Pool-1_1D:W0:N8:07	26
raw	mm	293T_TFF1_DNA_Pool-1_1D:W0:W2:07	33
raw	mm	293T_TFF1_DNA_Pool-1_1D:W3:X7:12	49
raw	mm	293T_TFF1_DNA_Pool-1_1D:W7:E1:07	25
raw	mm	293T_TFF1_DNA_Pool-1_1D:W8:Y2:07	68
raw	mm	293T_TFF1_DNA_Pool-1_1D:X2:N3:07	47
raw	mm	293T_TFF1_DNA_Pool-1_1D:X5:14:07	41
raw	mm	293T_TFF1_DNA_Pool-1_1D:X5:17:07	68
raw	mm	293T_TFF1_DNA_Pool-1_1D:X5:41:07	88
raw	mm	293T_TFF1_DNA_Pool-1_1D:X5:69:07	72
raw	mm	293T_TFF1_DNA_Pool-1_1D:X5:A0:07	97
raw	mm	293T_TFF1_DNA_Pool-1_1D:X5:A4:07	370
raw	mm	293T_TFF1_DNA_Pool-1_1D:X5:C0:07	59
raw	mm	293T_TFF1_DNA_Pool-1_1D:X5:D4:07	58
raw	mm	293T_TFF1_DNA_Pool-1_1D:X5:D7:07	35
raw	mm	293T_TFF1_DNA_Pool-1_1D:X5:H4:07	39
raw	mm	293T_TFF1_DNA_Pool-1_1D:X5:I9:07	155
