barcode	raw	cisTopic	FITS	scOpen	MAGIC	PUscOpen	cicero	scbasset	scbasset_puscopen	scbasset_cistopic	scbasset_cistopic_puscopen
293T_TFF1_DNA_Pool-1_1D:0I:N8:07	24	975.609	1.78029e+06	461706	807233	0	27.6149	24	0	52	54
293T_TFF1_DNA_Pool-1_1D:0P:54:07	46	906.699	693993	1.04532e+06	763274	329827	57.2141	46	246882	70	78
293T_TFF1_DNA_Pool-1_1D:0Q:G0:07	32	887.113	437926	758684	1.0093e+06	389288	36.403	32	1.11347e+06	52	57
293T_TFF1_DNA_Pool-1_1D:0Q:N3:07	232	11060.6	3.09127e+06	1.73262e+06	1.4684e+06	519230	254.679	232	916316	509	545
293T_TFF1_DNA_Pool-1_1D:0Q:Y2:02	58	2762.09	682994	1.65389e+06	802209	226012	69.8276	58	192475	125	134
293T_TFF1_DNA_Pool-1_1D:0T:0F:07	22	3565.45	708565	1.02209e+06	817140	419221	32.2641	22	606998	115	130
293T_TFF1_DNA_Pool-1_1D:0T:B6:07	20	914.152	0	1.27614e+06	747291	1.33421e+06	29.0562	20	1.66008e+06	45	48
293T_TFF1_DNA_Pool-1_1D:0T:T0:07	44	9833.04	1.23775e+06	487467	699319	0	47.594	44	0	318	337
293T_TFF1_DNA_Pool-1_1D:0T:X8:03	24	2621.41	0	790366	695988	153148	30.5035	24	233937	94	101
293T_TFF1_DNA_Pool-1_1D:0U:T4:12	41	5293.04	446595	883897	868716	0	48.071	41	0	186	204
293T_TFF1_DNA_Pool-1_1D:0X:0I:12	72	1497.82	0	1.479e+06	924743	277204	86.6619	72	360206	111	118
293T_TFF1_DNA_Pool-1_1D:0X:61:12	26	7187.77	1.94082e+06	882918	748255	0	35.138	26	0	228	255
293T_TFF1_DNA_Pool-1_1D:0X:A6:07	37	3393.05	1.63488e+06	706893	854237	99338.9	41.9443	37	0	129	136
293T_TFF1_DNA_Pool-1_1D:0X:I2:07	31	12470.3	0	829640	810482	0	37.9078	31	0	349	377
293T_TFF1_DNA_Pool-1_1D:0X:O5:12	44	1722.91	2.83364e+06	954535	659652	2.85637e+06	53.8114	44	6.99242e+06	91	103
293T_TFF1_DNA_Pool-1_1D:0X:T2:03	228	1070.89	558990	1.90474e+06	824388	1.41122e+06	263.685	228	1.05302e+06	250	264
293T_TFF1_DNA_Pool-1_1D:0X:X3:07	53	887.271	0	789019	814071	670044	60.7758	53	429839	77	85
293T_TFF1_DNA_Pool-1_1D:0X:Y2:02	181	1527.64	0	3.21499e+06	1.08358e+06	5.72685e+06	212.829	181	9.46434e+06	212	226
293T_TFF1_DNA_Pool-1_1D:0X:Y2:12	26	919.859	0	535062	719433	775100	31.2951	26	763682	50	54
293T_TFF1_DNA_Pool-1_1D:0Y:0N:07	48	3921.04	1.60293e+06	965640	976854	0	53.678	48	79110.7	152	166
293T_TFF1_DNA_Pool-1_1D:0Y:0O:11	77	1376.83	1.75549e+06	1.47682e+06	1.13224e+06	1.49664e+06	95.3863	77	2.57068e+06	108	113
293T_TFF1_DNA_Pool-1_1D:0Y:24:12	35	7144.25	2.66981e+06	1.06364e+06	915659	374947	44.6914	35	128412	224	247
293T_TFF1_DNA_Pool-1_1D:0Y:25:07	45	2425.2	334595	876602	799414	0	52.7378	45	0	103	110
293T_TFF1_DNA_Pool-1_1D:0Y:61:07	90	7025.76	1.7036e+06	708246	851939	1.95084e+06	103.084	90	208254	274	295
293T_TFF1_DNA_Pool-1_1D:0Y:E8:07	40	2717.43	450817	575754	661205	278402	45.9677	40	503140	110	120
293T_TFF1_DNA_Pool-1_1D:0Y:I2:07	30	6495.41	1.80096e+06	594120	911460	168512	37.9756	30	0	213	234
293T_TFF1_DNA_Pool-1_1D:0Y:J8:07	74	2057.88	2.48731e+06	816898	803033	493144	85.2848	74	405233	126	137
293T_TFF1_DNA_Pool-1_1D:0Y:O2:03	68	1437.39	421168	766653	746195	1.74715e-29	78.5301	68	137001	102	110
293T_TFF1_DNA_Pool-1_1D:0Y:O6:03	276	2875.87	0	2.33076e+06	2.11538e+06	2.97433e+06	314.56	276	5.62156e+06	335	358
293T_TFF1_DNA_Pool-1_1D:0Y:T0:03	453	2655.54	0	2.56654e+06	4.422e+06	4.62094e+06	502.556	453	1.02943e+07	511	546
293T_TFF1_DNA_Pool-1_1D:0Y:T0:12	122	854.429	1.27096e+06	1.22949e+06	1.03661e+06	1.69348e+06	145.197	122	3.0736e+06	144	157
293T_TFF1_DNA_Pool-1_1D:0Y:Y2:02	174	1818.2	3.65244e+06	3.15594e+06	1.19488e+06	2.77654e+06	213.67	174	2.69387e+06	218	233
293T_TFF1_DNA_Pool-1_1D:12:F2:07	158	3849.6	1.63143e+06	1.39745e+06	858446	476702	194.837	158	432304	260	272
293T_TFF1_DNA_Pool-1_1D:12:R2:07	68	1073.17	1.69725e+06	1.1795e+06	712087	380792	82.7593	68	721962	98	105
293T_TFF1_DNA_Pool-1_1D:15:F3:04	20	1038.91	1.60477e+06	350517	665029	0	23.3415	20	53712.1	46	49
293T_TFF1_DNA_Pool-1_1D:19:54:07	148	2194.92	611864	1.2011e+06	1.16261e+06	715757	171.816	148	1.0725e+06	208	224
293T_TFF1_DNA_Pool-1_1D:24:34:12	29	1424.16	0	415225	462341	884214	30.2989	29	934771	69	80
293T_TFF1_DNA_Pool-1_1D:24:54:12	20	8676.96	797515	790720	238288	8.09588e+06	24.8854	20	8.92681e+06	266	282
293T_TFF1_DNA_Pool-1_1D:24:E1:07	27	1809.88	1.23345e+06	934308	817912	0	30.9953	27	79110.7	76	81
293T_TFF1_DNA_Pool-1_1D:24:Y2:02	48	796.649	2.45852e+06	1.46233e+06	750426	751427	56.7438	48	1.01019e+06	69	75
293T_TFF1_DNA_Pool-1_1D:27:Y6:07	21	1586.2	1.6009e+06	563648	24910	289526	24.4103	21	411826	63	72
293T_TFF1_DNA_Pool-1_1D:32:R4:07	21	20798.7	442241	461642	11169.3	123776	24.1538	21	65884.8	486	525
293T_TFF1_DNA_Pool-1_1D:36:F2:07	70	1375.47	835075	857990	786775	535185	78.1754	70	960635	106	112
293T_TFF1_DNA_Pool-1_1D:36:T4:07	26	3062.46	1.15197e+06	882571	738790	0	31.2022	26	0	110	122
293T_TFF1_DNA_Pool-1_1D:36:Z3:07	42	1042.91	0	1.07918e+06	690802	2.09882e+06	51.6962	42	2.31925e+06	72	80
293T_TFF1_DNA_Pool-1_1D:39:A6:02	51	5391.53	0	859342	752848	0	60.0192	51	0	186	199
293T_TFF1_DNA_Pool-1_1D:39:O1:06	25	4064.55	0	684900	840202	1.16538e+06	30.7032	25	1.82935e+06	139	156
293T_TFF1_DNA_Pool-1_1D:43:F2:07	90	2159.84	0	1.91819e+06	729285	1.51297e+06	114.661	90	2.21874e+06	145	155
293T_TFF1_DNA_Pool-1_1D:43:H8:07	23	1055.38	0	520370	826629	0	28.2767	23	0	53	57
293T_TFF1_DNA_Pool-1_1D:47:76:02	29	2341.92	601147	1.24495e+06	798784	1.1085e+06	38.7623	29	1.69493e+06	88	95
293T_TFF1_DNA_Pool-1_1D:47:B6:07	46	559.781	613717	545348	722387	0	55.6272	46	79110.7	62	64
293T_TFF1_DNA_Pool-1_1D:47:J3:01	47	19947.6	1.77398e+06	840003	793172	588982	55.8113	47	680921	532	592
293T_TFF1_DNA_Pool-1_1D:47:Q6:07	75	1425.22	1.94618e+06	1.61292e+06	4.33131e+06	855432	86.7092	75	1.00905e+06	113	125
293T_TFF1_DNA_Pool-1_1D:47:Z6:07	24	2028.73	0	470044	159830	579564	29.0867	24	1.14888e+06	79	88
293T_TFF1_DNA_Pool-1_1D:51:41:07	24	1174.19	1.73859e+06	667250	660548	904901	26.7396	24	535149	56	58
293T_TFF1_DNA_Pool-1_1D:51:A4:07	55	1410.04	0	1.48882e+06	787057	612142	66.7293	55	597169	96	104
293T_TFF1_DNA_Pool-1_1D:51:B0:07	344	5661.25	1.07103e+07	3.25374e+06	4.11402e+06	4.21435e+06	408.199	344	6.64852e+06	480	512
293T_TFF1_DNA_Pool-1_1D:52:0J:03	45	1766.39	0	1.29113e+06	810301	344217	56.2495	45	484100	90	100
293T_TFF1_DNA_Pool-1_1D:52:0J:07	21	16988.6	0	984292	737362	259011	26.4234	21	300095	479	516
293T_TFF1_DNA_Pool-1_1D:52:K5:07	528	5063.66	0	2.11683e+06	7.76231e+06	4.2069e+06	581.757	528	1.19642e+06	652	687
293T_TFF1_DNA_Pool-1_1D:52:S5:07	42	1424.41	0	699811	812294	203139	51.1508	42	354844	78	85
293T_TFF1_DNA_Pool-1_1D:56:F2:03	21	841.369	0	413045	704648	619506	25.3575	21	160873	43	44
293T_TFF1_DNA_Pool-1_1D:60:Y1:07	30	3713.39	0	650454	700980	0	34.4535	30	79110.7	125	137
293T_TFF1_DNA_Pool-1_1D:63:L6:03	28	1119.5	1.35855e+06	442228	798363	147040	35.119	28	0	58	63
293T_TFF1_DNA_Pool-1_1D:63:M4:07	30	6596.67	2.19529e+06	516896	802096	118523	36.2122	30	129843	208	230
293T_TFF1_DNA_Pool-1_1D:64:I0:07	22	3028.45	0	393943	29901.8	0	24.9655	22	79110.7	103	112
293T_TFF1_DNA_Pool-1_1D:64:Q8:07	39	1433.8	0	789486	702528	1.24178e+06	44.7487	39	1.84205e+06	80	87
293T_TFF1_DNA_Pool-1_1D:68:F2:07	81	5191.48	856704	1.34971e+06	1.06112e+06	2.27445e+06	103.214	81	2.98405e+06	214	229
293T_TFF1_DNA_Pool-1_1D:68:Y2:02	51	2967.42	2.04937e+06	1.33159e+06	1.01544e+06	464374	57.2165	51	692269	130	142
293T_TFF1_DNA_Pool-1_1D:72:W2:03	35	2279.96	986323	851971	775016	228613	42.4583	35	0	97	105
293T_TFF1_DNA_Pool-1_1D:72:X7:03	125	27750.3	849970	1.43865e+06	1.0504e+06	748353	150.815	125	586286	741	786
293T_TFF1_DNA_Pool-1_1D:72:Y2:02	37	698.499	1.1889e+06	1.3072e+06	810133	0	44.6521	37	0	56	58
293T_TFF1_DNA_Pool-1_1D:83:T0:02	62	2041.29	1.6357e+06	1.38605e+06	1.10723e+06	637104	75.5275	62	584387	116	123
293T_TFF1_DNA_Pool-1_1D:83:T0:03	136	3042.66	1.52575e+06	1.40813e+06	811606	119583	161.778	136	106401	215	226
293T_TFF1_DNA_Pool-1_1D:87:B2:07	53	2542.79	0	1.00314e+06	1.20968e+06	216186	67.351	53	246242	120	129
293T_TFF1_DNA_Pool-1_1D:91:54:07	29	1843.56	0	750330	711360	0	35.0908	29	0	77	84
293T_TFF1_DNA_Pool-1_1D:91:B2:07	33	2074.96	343432	1.33211e+06	872164	108011	38.1644	33	0	91	97
293T_TFF1_DNA_Pool-1_1D:91:J6:07	79	1622.71	452067	908751	1.23355e+06	296111	94.2614	79	0	123	127
293T_TFF1_DNA_Pool-1_1D:95:0N:12	39	2186.51	0	940490	729010	0	45.7136	39	0	97	104
293T_TFF1_DNA_Pool-1_1D:95:46:07	56	17477.5	1.05935e+06	1.32221e+06	818206	1.18222e+06	73.159	56	773246	471	515
293T_TFF1_DNA_Pool-1_1D:95:61:07	59	2709.96	0	1.41909e+06	1.6358e+06	0	71.8545	59	328512	131	140
